run_id,equiv_grad_budget,row,deriv_evals,equiv_grad_evals,f_vals,update_norms,full_grad_norms,proj_grad_norms,config_str
d672e8d757,3000,0,0,0.0,8.0,0.6464159183250074,5.656854249492381,3.8480321418033383,"ProjectedCommonDirectionsConfig(subspace_frac_grads=0.05, subspace_frac_updates=0.05, subspace_frac_random=0.1, direction_str=newton, use_hess=True, random_proj=True, random_proj_dim_frac=0.4, ensemble=haar, inner_use_full_grad=True, reg_lambda=0, orth_P_k=True, beta=0.001, tau=0.5, c_const=inf, N_try=200, alpha_max=1, p_const=1)"
d672e8d757,3000,1,2160,21.6,6.084725850128005,1.0509287550953486,4.874005569904142,2.4936177451268797,
d672e8d757,3000,2,4320,43.2,4.33307065086039,0.911973023743038,4.672842958000122,2.986583213858118,
d672e8d757,3000,3,6480,64.8,2.954947336944169,0.6489021825438728,3.7241673550614633,2.3403873869746388,
d672e8d757,3000,4,8640,86.4,2.1883489775236598,0.5919159524916423,2.825272037003192,1.9940366808400964,
d672e8d757,3000,5,10800,108.0,1.5679297724289976,0.38680064814187876,1.8887356744917974,1.1757628542780925,
d672e8d757,3000,6,12960,129.6,1.3471115274837118,0.3474133743700367,1.55379282390942,1.1569018359523775,
d672e8d757,3000,7,15120,151.2,1.1508883569158372,0.2319678946965398,1.2221896944760267,0.6635363292831964,
d672e8d757,3000,8,17280,172.8,1.0783264108673134,0.25060751127551584,1.1299967922058773,0.6990429295435928,
d672e8d757,3000,9,19440,194.4,0.994127997894825,0.2772566435354434,1.0587841478183921,0.6803061127306781,
d672e8d757,3000,10,21600,216.0,0.9126852950831651,0.3380387672894829,0.974816000700667,0.6902147846024136,
d672e8d757,3000,11,23760,237.6,0.8161692798584506,0.26086117854251084,0.9941466613240458,0.6175992493924318,
d672e8d757,3000,12,25920,259.2,0.7536714134292957,0.22165689436109487,0.9564371487274855,0.5149614222325706,
d672e8d757,3000,13,28080,280.8,0.7037659462489934,0.36986364860398907,0.9702514352716842,0.6926184456680431,
d672e8d757,3000,14,30240,302.4,0.6191915901708609,0.1926129238719849,0.8827081292758554,0.4653144544748538,
d672e8d757,3000,15,32400,324.0,0.5809358034154919,0.21516600378708534,0.7983610633962085,0.4798534370849343,
d672e8d757,3000,16,34560,345.6,0.542465177768557,0.18193014171288538,0.6889302616578553,0.4445855006797221,
d672e8d757,3000,17,36720,367.2,0.5113418379791134,0.154150467232058,0.5845362884493881,0.37763641390355723,
d672e8d757,3000,18,38880,388.8,0.48655066648479156,0.13010296143674027,0.4932076125616671,0.2824981422144413,
d672e8d757,3000,19,41040,410.4,0.47059587914555623,0.15986694063905632,0.4979712112138755,0.3355230656361241,
d672e8d757,3000,20,43200,432.0,0.4511846938853808,0.15028073751598706,0.4768563311088571,0.27946959740835203,
d672e8d757,3000,21,45360,453.6,0.4353118087525862,0.16817849881635263,0.4447635804960069,0.2912529224705645,
d672e8d757,3000,22,47520,475.2,0.41919111083886496,0.12606553224279698,0.43370952965201737,0.2487925628434773,
d672e8d757,3000,23,49680,496.8,0.40735721332078934,0.14718854699945197,0.4130993494079084,0.287402938277349,
d672e8d757,3000,24,51840,518.4,0.3930925574416769,0.10522958428402349,0.40167368144981835,0.23475367050717091,
d672e8d757,3000,25,54000,540.0,0.3834996851841095,0.11359132920798093,0.37341985802354255,0.1877077565031798,
d672e8d757,3000,26,56160,561.6,0.3749639513601558,0.14362532588435648,0.3631600307388623,0.21663902867144408,
d672e8d757,3000,27,58320,583.2,0.3645667673778073,0.11411889986845489,0.3692951664924318,0.22941517708811507,
d672e8d757,3000,28,60480,604.8,0.35628122497032044,0.10200440626879916,0.3282558439989405,0.20097177957609713,
d672e8d757,3000,29,62640,626.4,0.3496365480525963,0.16826617786351186,0.3305937578752252,0.20500412291530729,
d672e8d757,3000,30,64800,648.0,0.34025874002081585,0.14748634362812982,0.35520417892234385,0.21383474928522253,
d672e8d757,3000,31,66960,669.6,0.33075900891032506,0.18292688189658213,0.3557673489120163,0.21591224839682202,
d672e8d757,3000,32,69120,691.2,0.32073165718463265,0.13388983205236213,0.3494641670551682,0.1956570184439562,
d672e8d757,3000,33,71280,712.8,0.3135403538495182,0.16624280429511565,0.3484012931204635,0.21238549142641847,
d672e8d757,3000,34,73440,734.4,0.3052996670622758,0.17379377611558974,0.32981715567116515,0.22754770622867698,
d672e8d757,3000,35,75600,756.0,0.2957979836807722,0.17217709335966197,0.33651487588002543,0.21461384424133728,
d672e8d757,3000,36,77760,777.6,0.2877159084938393,0.238939277685563,0.32737083995750077,0.22947140744464176,
d672e8d757,3000,37,79920,799.2,0.27685397415237895,0.13872064734021014,0.3093934578025854,0.18949703565630324,
d672e8d757,3000,38,82080,820.8,0.27050491445028485,0.17370891723439613,0.29299596728675875,0.19599686898418792,
d672e8d757,3000,39,84240,842.4,0.26295599357951743,0.07221494723140959,0.2647338638500612,0.15724068595648627,
d672e8d757,3000,40,86400,864.0,0.25897627398177037,0.15226570346481194,0.24639526639785986,0.16568285940794453,
d672e8d757,3000,41,88560,885.6,0.25340760577329496,0.10361654097171212,0.2587547531490194,0.1558517493374883,
d672e8d757,3000,42,90720,907.2,0.2497313043454125,0.07127351772192002,0.2424887987807311,0.13426370500727627,
d672e8d757,3000,43,92880,928.8,0.24612272765434703,0.11423899272292141,0.23618718717518467,0.14603051171540202,
d672e8d757,3000,44,95040,950.4,0.24199661764765495,0.09195177212601714,0.20479183394633496,0.13815148655388207,
d672e8d757,3000,45,97200,972.0,0.23868747624203385,0.0892089376562383,0.19009537433460405,0.11478869250619585,
d672e8d757,3000,46,99360,993.6,0.23608750385782268,0.07316421263945032,0.18605883811797796,0.10564188927947443,
d672e8d757,3000,47,101520,1015.2,0.23405066348686568,0.06932275401119442,0.19235638218798826,0.11836477200695344,
d672e8d757,3000,48,103680,1036.8,0.23177277724938103,0.11358518795517343,0.19512005101261257,0.13398336653391008,
d672e8d757,3000,49,105840,1058.4,0.22856629904316386,0.09383173253137843,0.2017793617073758,0.12473010012828795,
d672e8d757,3000,50,108000,1080.0,0.22593813350707714,0.12507608388970115,0.20857044509491895,0.12040607127219005,
d672e8d757,3000,51,110160,1101.6,0.22246414656416286,0.14444797950479454,0.2336097582119246,0.1652620014672319,
d672e8d757,3000,52,112320,1123.2,0.2181150629116497,0.1595734025757521,0.23317321760219023,0.16701621327089217,
d672e8d757,3000,53,114480,1144.8,0.2133019784798289,0.1403735288523078,0.22398262514418849,0.13743898909276653,
d672e8d757,3000,54,116640,1166.4,0.20951529795363016,0.24545021689780908,0.23184464634357194,0.16435987647565714,
d672e8d757,3000,55,118800,1188.0,0.20343403033517798,0.2048903555820409,0.2646808672014986,0.1844335425799578,
d672e8d757,3000,56,120960,1209.6,0.19734911994605672,0.17874420688933715,0.2671414755907568,0.1691006352753769,
d672e8d757,3000,57,123120,1231.2,0.19221132399066507,0.21191877794345762,0.24756736189530115,0.1657063605753079,
d672e8d757,3000,58,125280,1252.8,0.18669040893663152,0.1506544449020988,0.25121575034761306,0.14511395636094046,
d672e8d757,3000,59,127440,1274.4,0.18229216392960082,0.22415224408992782,0.23357572086302253,0.16569622005178997,
d672e8d757,3000,60,129600,1296.0,0.17681113660574035,0.18296811865247292,0.23508027969673392,0.14911043986918823,
d672e8d757,3000,61,131760,1317.6,0.17304795848552956,0.20868271091072624,0.23756992497281468,0.15914732711375884,
d672e8d757,3000,62,133920,1339.2,0.16839467355615736,0.19781748285092848,0.21079107249173695,0.12335850975242735,
d672e8d757,3000,63,136080,1360.8,0.16470211928579687,0.17963706807291097,0.19814005624408731,0.14516689356709336,
d672e8d757,3000,64,138240,1382.4,0.16074186735192453,0.10673050280915108,0.19065284839323632,0.10556036679127583,
d672e8d757,3000,65,140400,1404.0,0.15827906308456152,0.11379199486370427,0.19739677358114957,0.13588672667902713,
d672e8d757,3000,66,142560,1425.6,0.1550399892595896,0.15167292026001356,0.19869248257595898,0.1317873611546177,
