run_id,equiv_grad_budget,row,deriv_evals,equiv_grad_evals,f_vals,update_norms,full_grad_norms,proj_grad_norms,config_str
51eb525dd2,180,0,0,0.0,1854273730.0,423.5107554338131,14338331.266726961,6631804.712896013,"ProjectedCommonDirectionsConfig(subspace_frac_grads=0.05, subspace_frac_updates=0.05, subspace_frac_random=0.1, direction_str=sd, random_proj=True, random_proj_dim_frac=0.2, ensemble=haar, inner_use_full_grad=True, orth_P_k=True, beta=0.001, tau=0.5, c_const=inf, N_try=200, alpha_max=100, p_const=1)"
51eb525dd2,180,1,39,0.39,1430989259.5390253,447.0024407365959,15022025.87939244,6231754.02864474,
51eb525dd2,180,2,78,0.78,1267433594.2008152,370.8846523553189,13869363.87741061,5380908.909377153,
51eb525dd2,180,3,117,1.17,804855767.424882,242.50057452627584,8673195.271932313,3066834.540558604,
51eb525dd2,180,4,156,1.56,405749708.1422811,139.52525598866612,5375921.677151611,2336098.4502376765,
51eb525dd2,180,5,195,1.95,260226212.42516118,166.9613663746814,3527709.143574197,1363251.4638318026,
51eb525dd2,180,6,234,2.34,185321803.44515368,130.94088579990097,2759079.47169278,949509.9690864554,
51eb525dd2,180,7,273,2.73,124564412.4470986,108.97909481010716,2104920.442987043,993512.0873459477,
51eb525dd2,180,8,312,3.12,73753105.36760068,174.02237688989658,1406289.6465258906,734323.5016418317,
51eb525dd2,180,9,351,3.51,41031291.87819969,122.62343532524508,1019192.945978916,494795.816720445,
51eb525dd2,180,10,390,3.9,19128586.590120364,152.93134274431674,552613.3638471016,320607.70686571277,
51eb525dd2,180,11,429,4.29,14034356.660407154,110.87658060582262,426300.04466330324,178209.3370095111,
51eb525dd2,180,12,468,4.68,5049190.322160469,83.81396391952144,196065.15967528996,82227.63861135593,
51eb525dd2,180,13,507,5.07,4126825.6244756114,85.59498333949331,166653.08923472432,68289.69445433395,
51eb525dd2,180,14,546,5.46,2025643.1889845335,93.79768649678522,95551.51923610756,42598.29916116704,
51eb525dd2,180,15,585,5.85,1759095.8009208965,102.31121618498709,95523.7533175029,40906.572346444285,
51eb525dd2,180,16,624,6.24,1382933.8290276288,73.65383674372681,75461.69911999886,30020.96574772132,
51eb525dd2,180,17,663,6.63,924496.971144006,69.82287089465363,67698.96823168652,29396.22614000847,
51eb525dd2,180,18,702,7.02,702022.2836480935,54.47989056218939,51909.07582849116,24094.52667174798,
51eb525dd2,180,19,741,7.41,467960.8578735833,70.71390712472434,31863.103428720467,18297.815065673378,
51eb525dd2,180,20,780,7.8,397816.2201703749,61.27909619565729,30931.01464096482,11111.714385607216,
51eb525dd2,180,21,819,8.19,208863.02767222206,36.326809108767556,19036.67641232309,8139.690628770408,
51eb525dd2,180,22,858,8.58,117262.25854055464,25.764548411290317,13743.330084457966,5901.6752772158225,
51eb525dd2,180,23,897,8.97,51271.09467650791,19.805056112255674,6054.886936232962,2585.565104366146,
51eb525dd2,180,24,936,9.36,33301.57282140199,14.213734673472194,4008.137205204041,1682.8918561161502,
51eb525dd2,180,25,975,9.75,21294.90865239074,19.767331659465675,2856.1829310451294,1406.4053911674362,
51eb525dd2,180,26,1014,10.14,18704.250335037057,25.0937907821436,3256.117713627494,1350.3198267225737,
51eb525dd2,180,27,1053,10.53,17253.060473987982,20.222829939752433,2728.256884700368,1152.9779897244478,
