run_id,equiv_grad_budget,row,deriv_evals,equiv_grad_evals,f_vals,update_norms,full_grad_norms,proj_grad_norms,config_str
6ae01dc9f3,180,0,0,0.0,1103212569430.8875,220.49848245150375,2947735965.0677257,308449140.95175207,"ProjectedCommonDirectionsConfig(subspace_frac_grads=0.02, subspace_frac_updates=0, subspace_frac_random=0.02, direction_str=sd, random_proj=True, random_proj_dim_frac=0.03, ensemble=haar, inner_use_full_grad=True, orth_P_k=True, beta=0.001, tau=0.5, c_const=inf, N_try=200, alpha_max=100, p_const=1)"
6ae01dc9f3,180,1,6,0.06,1068450723440.3591,244.74301549941558,2894103732.1730976,595870861.4541711,
6ae01dc9f3,180,2,12,0.12,1024981845565.061,317.9760303616806,2838224579.8437915,465060819.92549443,
6ae01dc9f3,180,3,18,0.18,952303202659.6821,161.41843786024268,2729595662.3954268,287912526.07929593,
6ae01dc9f3,180,4,24,0.24,933572053483.618,61.89115724388213,2707715993.198509,66899888.028990574,
6ae01dc9f3,180,5,30,0.3,930768685572.9279,131.13674522873407,2704274581.407973,310453069.41423005,
6ae01dc9f3,180,6,36,0.36,918321838891.9298,150.83476157211635,2689062233.247054,240364259.31669277,
6ae01dc9f3,180,7,42,0.42,901616287736.95,226.25766656166152,2665822197.8521967,254437549.6545186,
6ae01dc9f3,180,8,48,0.48,865270652714.2302,136.6528437419377,2614158512.0948644,331595642.4858887,
6ae01dc9f3,180,9,54,0.54,851967389320.8391,108.63624742743417,2595135253.444406,170039696.45429087,
6ae01dc9f3,180,10,60,0.6,843569944483.6398,231.2920811800142,2585633019.657301,564766115.5577757,
6ae01dc9f3,180,11,66,0.66,805218543865.0005,198.8741897597451,2525054732.4801803,411212811.87592924,
6ae01dc9f3,180,12,72,0.72,777655023027.8695,225.3534061497749,2486639512.7692747,581533942.7339973,
6ae01dc9f3,180,13,78,0.78,743134963490.9076,154.9108035178366,2425405371.4261074,260287803.54110074,
6ae01dc9f3,180,14,84,0.84,726249342805.2974,192.23125046199638,2399237400.5383973,431541907.99960655,
6ae01dc9f3,180,15,90,0.9,700749916609.3665,172.31633891555742,2362624327.8051624,309121061.04279035,
6ae01dc9f3,180,16,96,0.96,680028572936.746,208.05693902701827,2325277853.074821,483238456.1899476,
6ae01dc9f3,180,17,102,1.02,650121861752.9718,251.78222685060405,2277054258.3755236,430792279.36861086,
6ae01dc9f3,180,18,108,1.08,605680188293.7272,95.28686778547033,2193839923.947038,140499689.87011987,
6ae01dc9f3,180,19,114,1.14,599258515367.6609,198.58469353257897,2179560335.487006,257100897.03713107,
6ae01dc9f3,180,20,120,1.2,571765143707.5138,152.97103633472767,2128458204.6082017,328906653.2016873,
6ae01dc9f3,180,21,126,1.26,555657647333.4369,213.28039910886181,2101688941.6772726,344125988.80617315,
6ae01dc9f3,180,22,132,1.32,522647041301.7668,206.68474764434163,2031489649.8186448,433733983.53449655,
6ae01dc9f3,180,23,138,1.38,492270372975.34186,154.2746545665473,1974764646.5552816,241562793.49346057,
