run_id,equiv_grad_budget,row,deriv_evals,equiv_grad_evals,f_vals,update_norms,full_grad_norms,proj_grad_norms,config_str
e9df19cd8d,180,0,0,0.0,1.0,3.419718273556838e-05,1.0,0.3339196330605745,"ProjectedCommonDirectionsConfig(subspace_frac_grads=0.03, subspace_frac_updates=0, subspace_frac_random=0, direction_str=sd, random_proj=True, random_proj_dim_frac=0.2, ensemble=haar, inner_use_full_grad=True, orth_P_k=True, beta=0.001, tau=0.5, c_const=inf, N_try=200, alpha_max=100, p_const=1)"
e9df19cd8d,180,1,22,0.22,0.9999974287417414,3.724779038462218e-05,0.9641200191189748,0.34843399805077296,
e9df19cd8d,180,2,44,0.44,0.9999944614096511,4.2059352518800065e-05,0.925616174940909,0.38737178845636205,
e9df19cd8d,180,3,66,0.66,0.9999905986989,4.167660801628527e-05,0.8683780379538271,0.3945329122939922,
e9df19cd8d,180,4,88,0.88,0.9999875998153862,4.508697078997109e-05,0.8102992360775471,0.34641437542601383,
e9df19cd8d,180,5,110,1.1,0.9999845533708982,3.996198071525411e-05,0.768207525198081,0.3112955739049123,
e9df19cd8d,180,6,132,1.32,0.999981747117864,3.626782968952068e-05,0.6887190291129223,0.33098468895882927,
e9df19cd8d,180,7,154,1.54,0.9999793538048295,3.0848390035078155e-05,0.6700341561245498,0.23953205820570653,
e9df19cd8d,180,8,176,1.76,0.9999781130561781,3.598487716944209e-05,0.6217644752700623,0.3092444466658569,
e9df19cd8d,180,9,198,1.98,0.9999755324316372,2.9969600671235896e-05,0.5465736939278002,0.2788229907557524,
e9df19cd8d,180,10,220,2.2,0.9999736171424445,2.442554732775711e-05,0.4918965437366893,0.20449329201740646,
e9df19cd8d,180,11,242,2.42,0.9999723594861687,2.1717331076739346e-05,0.4463578680197191,0.20560977422504378,
e9df19cd8d,180,12,264,2.64,0.9999714663264953,1.8870357698723333e-05,0.3973281797396785,0.15705277960568081,
e9df19cd8d,180,13,286,2.86,0.9999709018418074,1.9384916779445243e-05,0.3807874773290445,0.17236370885563285,
e9df19cd8d,180,14,308,3.08,0.9999701948131103,1.8221640686397934e-05,0.3413915626396163,0.16067572396006571,
e9df19cd8d,180,15,330,3.3,0.9999694292345329,1.6992361209866206e-05,0.3065607647707475,0.16055507663929644,
e9df19cd8d,180,16,352,3.52,0.9999689268243144,1.493003128525156e-05,0.27209851764775206,0.11467579759000969,
e9df19cd8d,180,17,374,3.74,0.999968476661965,1.5012762175061562e-05,0.24949859328550902,0.14437883999741574,
e9df19cd8d,180,18,396,3.96,0.9999681282903007,1.1890321679827372e-05,0.22693038163627402,0.0846183450583919,
e9df19cd8d,180,19,418,4.18,0.9999679576565341,1.067036846116715e-05,0.21320726347008628,0.07504150219998715,
e9df19cd8d,180,20,440,4.4,0.999967751144103,9.628871014532486e-06,0.19547672066127803,0.09224353233589862,
e9df19cd8d,180,21,462,4.62,0.9999676008622553,9.4126326338265e-06,0.1808046047589566,0.08612480484928332,
e9df19cd8d,180,22,484,4.84,0.9999674744983696,9.190393904148953e-06,0.1686049876326899,0.07570227606148945,
e9df19cd8d,180,23,506,5.06,0.9999673489838505,8.782006497746575e-06,0.15478927164110895,0.07948496995298031,
e9df19cd8d,180,24,528,5.28,0.9999672106253555,6.498411107210127e-06,0.13386342459902287,0.05714872866322383,
e9df19cd8d,180,25,550,5.5,0.9999671376589034,6.45200602213278e-06,0.12602969988987386,0.05944830826000926,
e9df19cd8d,180,26,572,5.72,0.9999670622389977,5.913807375998766e-06,0.11395340924586998,0.05313227532813832,
e9df19cd8d,180,27,594,5.94,0.9999669987399068,5.131714755487712e-06,0.10405107021629831,0.03955819449988911,
e9df19cd8d,180,28,616,6.16,0.9999669381735026,4.580952606007742e-06,0.09121942756678723,0.04020110812258373,
e9df19cd8d,180,29,638,6.38,0.9999668967830354,4.626127466997453e-06,0.086318669109918,0.044337438123917945,
e9df19cd8d,180,30,660,6.6,0.9999668485744081,3.4151022780369397e-06,0.07443433367058255,0.02632147867730354,
e9df19cd8d,180,31,682,6.82,0.9999668216020441,3.4198439443662736e-06,0.06821896428532559,0.03412992751002852,
e9df19cd8d,180,32,704,7.04,0.9999667955213525,3.483081287820675e-06,0.06450438053816551,0.03379366979062643,
