run_id,equiv_grad_budget,row,deriv_evals,equiv_grad_evals,f_vals,update_norms,full_grad_norms,proj_grad_norms,config_str
3546bcf68a,180,0,0,0.0,8.61852144140171e+28,148.13406257607687,1.0667034371279485e+28,3.3901029101199395e+27,"ProjectedCommonDirectionsConfig(subspace_no_grads=1, subspace_frac_updates=0, subspace_frac_random=0.02, direction_str=sd, random_proj=True, random_proj_dim_frac=0.1, ensemble=haar, inner_use_full_grad=True, orth_P_k=True, beta=0.001, tau=0.5, c_const=inf, N_try=200, alpha_max=100, p_const=1)"
3546bcf68a,180,1,12,0.12,1.8120228543061616e+28,77.19257379351785,2.693490644985029e+27,9.23581230774503e+26,
3546bcf68a,180,2,24,0.24,8.72190933294757e+27,115.42141408837105,9.695454690832104e+26,3.253200386548358e+26,
3546bcf68a,180,3,36,0.36,4.2646119665537705e+27,47.11005919005909,9.140172071402051e+26,2.6491728236075982e+26,
3546bcf68a,180,4,48,0.48,9.448607428346003e+26,18.14165903009389,1.4862377474142649e+26,5.474638674634159e+25,
3546bcf68a,180,5,60,0.6,5.5147225308506535e+26,52.3079196360419,5.758971291516069e+25,1.9155437571675485e+25,
3546bcf68a,180,6,72,0.72,3.04899196671939e+26,18.68444271334313,8.955299135320475e+25,2.808072799747955e+25,
3546bcf68a,180,7,84,0.84,1.2605239607183475e+26,35.93144262184846,2.154525367203195e+25,6.344193934091565e+24,
3546bcf68a,180,8,96,0.96,1.0161106291237814e+26,8.78080537916389,3.651624864949349e+25,1.3218102579959796e+25,
3546bcf68a,180,9,108,1.08,5.117595784780013e+25,11.127523932118626,1.1427088048942633e+25,4.112768010918922e+24,
3546bcf68a,180,10,120,1.2,3.0731030825799494e+25,4.458252705519124,7.657500616645616e+24,2.912491770313597e+24,
3546bcf68a,180,11,132,1.32,2.657583203133802e+25,4.184142776122133,6.738717401419666e+24,1.279861246935805e+24,
3546bcf68a,180,12,144,1.44,2.3660545711161747e+25,3.9314167559004782,3.4250212859194724e+24,1.4904969324095039e+24,
3546bcf68a,180,13,156,1.56,2.078275611834553e+25,6.629492850084781,5.019589501959296e+24,1.207749441172319e+24,
3546bcf68a,180,14,168,1.68,2.0210126576846026e+25,4.963626090053888,6.073477252101014e+24,1.6867941536197188e+24,
3546bcf68a,180,15,180,1.8,1.9825035901869567e+25,4.369486624780591,5.94648083134214e+24,1.615538665054249e+24,
3546bcf68a,180,16,192,1.92,1.9131358025043643e+25,4.196951716825549,4.6483014508354667e+24,1.6024819621320894e+24,
3546bcf68a,180,17,204,2.04,1.7631066892622726e+25,3.869961339390747,4.935274453301159e+24,1.227094748703133e+24,
3546bcf68a,180,18,216,2.16,1.4800857595762357e+25,3.3754217346708204,2.1483326019537044e+24,5.781182575170544e+23,
3546bcf68a,180,19,228,2.28,1.4514840104141433e+25,3.042034141194839,3.7618896657824663e+24,1.1713997784942115e+24,
3546bcf68a,180,20,240,2.4,1.3587952098139717e+25,2.990720888893879,2.67867058904931e+24,3.8481699580081494e+23,
3546bcf68a,180,21,252,2.52,1.3440430823685334e+25,2.9856974522645032,2.5972174026208807e+24,5.0259807789225615e+23,
3546bcf68a,180,22,264,2.64,1.309992015843137e+25,3.430439567417741,2.4215197421022355e+24,5.7711850246683194e+23,
3546bcf68a,180,23,276,2.76,1.298111547946534e+25,2.091492743321232,3.372424952166741e+24,1.5731092839963783e+24,
3546bcf68a,180,24,288,2.88,1.2246706807662589e+25,1.4441942223981126,2.7657811755002726e+24,1.1102991253899056e+24,
3546bcf68a,180,25,300,3.0,1.1501300410541212e+25,4.125163566966504,1.4324368862904937e+24,3.602670997420356e+23,
3546bcf68a,180,26,312,3.12,1.0809485849509381e+25,2.5215547710972612,2.528740596729962e+24,9.349830201207831e+23,
3546bcf68a,180,27,324,3.24,1.0260575892478964e+25,1.8306954552292627,2.2800862181097555e+24,7.051860540582243e+23,
3546bcf68a,180,28,336,3.36,9.692518507461387e+24,2.61147176913527,1.1561442164053058e+24,4.954115839532158e+23,
3546bcf68a,180,29,348,3.48,9.187732175986286e+24,2.5265681064937557,2.138385126135344e+24,9.584828772236995e+23,
3546bcf68a,180,30,360,3.6,9.148100925523704e+24,1.8564562585595148,2.845195857618863e+24,1.430879286644473e+24,
3546bcf68a,180,31,372,3.72,8.538485900877751e+24,2.5803534410718316,1.7569609201355827e+24,3.800297750054474e+23,
