run_id,equiv_grad_budget,row,deriv_evals,equiv_grad_evals,f_vals,update_norms,full_grad_norms,proj_grad_norms,config_str
a8cb84b5b9,180,0,0,0.0,0.81,0.19521418688461753,1.8,1.8,"ProjectedCommonDirectionsConfig(subspace_frac_grads=0, subspace_frac_updates=0, subspace_frac_random=0.3, direction_str=sd, inner_use_full_grad=True, orth_P_k=True, beta=0.001, tau=0.5, c_const=inf, N_try=200, alpha_max=100, p_const=1)"
a8cb84b5b9,180,1,30,0.3,0.7330480084296402,0.06298163813464419,1.1171070824742744,1.1171070824742744,
a8cb84b5b9,180,2,60,0.6,0.7204645047736883,0.020730244243140645,0.36921758213962536,0.36921758213962536,
a8cb84b5b9,180,3,90,0.9,0.7184366566349037,0.027651759424407486,0.10795402147714617,0.10795402147714617,
a8cb84b5b9,180,4,120,1.2,0.717832497764886,0.028093114454237792,0.27015475914464154,0.27015475914464154,
a8cb84b5b9,180,5,150,1.5,0.7173668577906044,0.015377569594414237,0.2873222522037308,0.2873222522037308,
a8cb84b5b9,180,6,180,1.8,0.7162071621690489,0.08437477370342839,0.10028451788184398,0.10028451788184398,
a8cb84b5b9,180,7,210,2.1,0.7150669209498787,0.04804780470752909,0.5048790779381978,0.5048790779381978,
a8cb84b5b9,180,8,240,2.4,0.7132883096251605,0.02192245130348209,0.3804118048829175,0.3804118048829175,
a8cb84b5b9,180,9,270,2.7,0.7110278784727193,0.026167308945106507,0.1226324738076594,0.1226324738076594,
a8cb84b5b9,180,10,300,3.0,0.710987031751033,0.019540555174376688,0.2917791383773,0.2917791383773,
a8cb84b5b9,180,11,330,3.3,0.7099696404235046,0.019770622255854832,0.2205368252257594,0.2205368252257594,
a8cb84b5b9,180,12,360,3.6,0.7090461959227786,0.006870514595607364,0.13150211618446866,0.13150211618446866,
a8cb84b5b9,180,13,390,3.9,0.7088016472281435,0.04396432833552153,0.10644273072771193,0.10644273072771193,
a8cb84b5b9,180,14,420,4.2,0.7081510590529999,0.019953232456642087,0.3336374268402871,0.3336374268402871,
a8cb84b5b9,180,15,450,4.5,0.7066267907870226,0.04370739960033636,0.1576551825138352,0.1576551825138352,
a8cb84b5b9,180,16,480,4.8,0.7064940186463139,0.017251705907938345,0.3042590172920434,0.3042590172920434,
a8cb84b5b9,180,17,510,5.1,0.7051722815988679,0.015536231404209677,0.12400719983130933,0.12400719983130933,
a8cb84b5b9,180,18,540,5.4,0.704660800193841,0.018440169894039113,0.1870456085282092,0.1870456085282092,
a8cb84b5b9,180,19,570,5.7,0.703819538340907,0.015483373356312337,0.14553048497131324,0.14553048497131324,
a8cb84b5b9,180,20,600,6.0,0.7035623832586478,0.020322841923321452,0.1931045099577039,0.1931045099577039,
a8cb84b5b9,180,21,630,6.3,0.7029371686129368,0.02261365460184967,0.204750360938592,0.204750360938592,
a8cb84b5b9,180,22,660,6.6,0.7028366474860186,0.023034673006561385,0.2768486038232859,0.2768486038232859,
a8cb84b5b9,180,23,690,6.9,0.7016774239086746,0.028859172450105414,0.1342492750648866,0.1342492750648866,
a8cb84b5b9,180,24,720,7.2,0.7014318936694578,0.03181958153530418,0.3042246199382455,0.3042246199382455,
a8cb84b5b9,180,25,750,7.5,0.70098510708957,0.02105796840611278,0.349963980696989,0.349963980696989,
a8cb84b5b9,180,26,780,7.8,0.6994705701867154,0.019454906944927918,0.185154119168232,0.185154119168232,
a8cb84b5b9,180,27,810,8.1,0.6991171788774262,0.012995605123663118,0.22708937603724622,0.22708937603724622,
a8cb84b5b9,180,28,840,8.4,0.6983115273972403,0.023266991422601604,0.12250838202427547,0.12250838202427547,
a8cb84b5b9,180,29,870,8.7,0.6977863159873052,0.013122917050581924,0.2211706228223147,0.2211706228223147,
a8cb84b5b9,180,30,900,9.0,0.6971290511394823,0.016693403640048413,0.14356273058808178,0.14356273058808178,
a8cb84b5b9,180,31,930,9.3,0.6968275078712458,0.013858005836327547,0.22776972014127322,0.22776972014127322,
a8cb84b5b9,180,32,960,9.6,0.6961621829604766,0.0173176643862783,0.15704731287716528,0.15704731287716528,
a8cb84b5b9,180,33,990,9.9,0.6955374449524127,0.018614244904626095,0.18474074722102787,0.18474074722102787,
a8cb84b5b9,180,34,1020,10.2,0.6947451167777672,0.019120053397215835,0.16271040438183365,0.16271040438183365,
a8cb84b5b9,180,35,1050,10.5,0.6947024815581665,0.02717023538188185,0.28487973719476817,0.28487973719476817,
a8cb84b5b9,180,36,1080,10.8,0.6932733539456014,0.02165567175596469,0.19784838789595452,0.19784838789595452,
a8cb84b5b9,180,37,1110,11.1,0.6927440652327166,0.0208953151341902,0.24874213703851686,0.24874213703851686,
a8cb84b5b9,180,38,1140,11.4,0.6917031793039707,0.02859683843244529,0.1352260648521721,0.1352260648521721,
a8cb84b5b9,180,39,1170,11.7,0.691048147213504,0.016611699570281108,0.2832019358938202,0.2832019358938202,
a8cb84b5b9,180,40,1200,12.0,0.6901851398321598,0.018930162456224656,0.1728872885888414,0.1728872885888414,
a8cb84b5b9,180,41,1230,12.3,0.6892907308733884,0.010479808135881516,0.17685776475027773,0.17685776475027773,
a8cb84b5b9,180,42,1260,12.6,0.688817086644567,0.016664567784322955,0.13847400728577758,0.13847400728577758,
a8cb84b5b9,180,43,1290,12.9,0.6887195830077081,0.015423594677177604,0.2685268465011866,0.2685268465011866,
a8cb84b5b9,180,44,1320,13.2,0.6877522857870777,0.04790349743804988,0.14710767015009207,0.14710767015009207,
a8cb84b5b9,180,45,1350,13.5,0.6875828350605031,0.02109907859457604,0.40009590972892256,0.40009590972892256,
a8cb84b5b9,180,46,1380,13.8,0.6855493249013149,0.01215708451598819,0.1315862976129836,0.1315862976129836,
a8cb84b5b9,180,47,1410,14.1,0.6852300509045076,0.018833920452449065,0.15759076409107264,0.15759076409107264,
a8cb84b5b9,180,48,1440,14.4,0.6851226078583156,0.026585535630160254,0.27646382577150946,0.27646382577150946,
a8cb84b5b9,180,49,1470,14.7,0.6849258346908642,0.03033248797073559,0.3046097758115221,0.3046097758115221,
a8cb84b5b9,180,50,1500,15.0,0.6843818285282032,0.020940434830278104,0.31401934930266756,0.31401934930266756,
a8cb84b5b9,180,51,1530,15.3,0.6832376014134285,0.01585663312832374,0.2614367330261346,0.2614367330261346,
a8cb84b5b9,180,52,1560,15.6,0.6823777634010703,0.02082250732560995,0.17725124360592823,0.17725124360592823,
a8cb84b5b9,180,53,1590,15.9,0.6821739848279136,0.016541619667734802,0.29890986965417865,0.29890986965417865,
a8cb84b5b9,180,54,1620,16.2,0.681012350636273,0.014819132430451411,0.1441354589832364,0.1441354589832364,
a8cb84b5b9,180,55,1650,16.5,0.6805552055772828,0.011831079630662992,0.18114442775500586,0.18114442775500586,
a8cb84b5b9,180,56,1680,16.8,0.6800288262536401,0.020306238680720318,0.17064925677563994,0.17064925677563994,
a8cb84b5b9,180,57,1710,17.1,0.6799560159879284,0.016684640835094303,0.3119197819350415,0.3119197819350415,
a8cb84b5b9,180,58,1740,17.4,0.6785962772683135,0.05837276293212741,0.12820726164627425,0.12820726164627425,
a8cb84b5b9,180,59,1770,17.7,0.6777651381877743,0.026352013431495274,0.511376702996027,0.511376702996027,
a8cb84b5b9,180,60,1800,18.0,0.6751380154935533,0.015914869439128548,0.16849228030251032,0.16849228030251032,
a8cb84b5b9,180,61,1830,18.3,0.6745684496813641,0.017238404909199683,0.1670319837030932,0.1670319837030932,
a8cb84b5b9,180,62,1860,18.6,0.6738210143770585,0.01734049939750656,0.17290388324558398,0.17290388324558398,
a8cb84b5b9,180,63,1890,18.9,0.6736456296604487,0.022801555197467935,0.2427090858523887,0.2427090858523887,
a8cb84b5b9,180,64,1920,19.2,0.6728573029537752,0.01237767958381133,0.2151056324834192,0.2151056324834192,
a8cb84b5b9,180,65,1950,19.5,0.6721975134484066,0.030595413027500868,0.14884455175409053,0.14884455175409053,
a8cb84b5b9,180,66,1980,19.8,0.6714679018418518,0.02814321355900229,0.29610649322111454,0.29610649322111454,
a8cb84b5b9,180,67,2010,20.1,0.6706873207961771,0.015712413966514474,0.28707166074305623,0.28707166074305623,
a8cb84b5b9,180,68,2040,20.4,0.669576781296289,0.016005915728104704,0.14448368825093413,0.14448368825093413,
a8cb84b5b9,180,69,2070,20.7,0.6690057872864473,0.030346448397910005,0.2026183994009292,0.2026183994009292,
a8cb84b5b9,180,70,2100,21.0,0.6681723920523359,0.0364007606923,0.22327263349056262,0.22327263349056262,
a8cb84b5b9,180,71,2130,21.3,0.6673829604920969,0.01596879820322731,0.31072183646849916,0.31072183646849916,
a8cb84b5b9,180,72,2160,21.6,0.6663240309001074,0.01472549614988936,0.14203989770531092,0.14203989770531092,
a8cb84b5b9,180,73,2190,21.9,0.6659604667113992,0.009736495711075247,0.21082905630331453,0.21082905630331453,
a8cb84b5b9,180,74,2220,22.2,0.665499300829945,0.39426079654745716,0.12151922220763804,0.12151922220763804,
a8cb84b5b9,180,75,2250,22.5,0.6533223561216777,0.03885082423452188,0.6466960375838854,0.6466960375838854,
a8cb84b5b9,180,76,2280,22.8,0.6492316165527204,0.022181631300375402,0.43955241146273716,0.43955241146273716,
a8cb84b5b9,180,77,2310,23.1,0.6472014122412085,0.009344691968237544,0.17604088925170425,0.17604088925170425,
a8cb84b5b9,180,78,2340,23.4,0.6468145243190574,0.035816744320149585,0.1619593871981497,0.1619593871981497,
a8cb84b5b9,180,79,2370,23.7,0.6467505232308677,0.027588889572579423,0.45431044317520464,0.45431044317520464,
a8cb84b5b9,180,80,2400,24.0,0.6457268713063594,0.02093708408233345,0.4056356841742841,0.4056356841742841,
a8cb84b5b9,180,81,2430,24.3,0.6438368402867723,0.009805306783473702,0.17448481324950668,0.17448481324950668,
a8cb84b5b9,180,82,2460,24.6,0.6433890625869298,0.018488709960200068,0.16746613899203047,0.16746613899203047,
a8cb84b5b9,180,83,2490,24.9,0.6427824284753569,0.014442809185082795,0.25320670639914816,0.25320670639914816,
a8cb84b5b9,180,84,2520,25.2,0.6419168556100548,0.019787552462207127,0.18388550168179227,0.18388550168179227,
a8cb84b5b9,180,85,2550,25.5,0.6415956354080365,0.017010540510240185,0.295074103979077,0.295074103979077,
a8cb84b5b9,180,86,2580,25.8,0.6400800473301286,0.016985580265817937,0.16737526941573697,0.16737526941573697,
a8cb84b5b9,180,87,2610,26.1,0.6395359203047649,0.01899865985337177,0.2266231382602322,0.2266231382602322,
a8cb84b5b9,180,88,2640,26.4,0.6391736502447116,0.013616615788723804,0.23242586990786787,0.23242586990786787,
a8cb84b5b9,180,89,2670,26.7,0.6385989423165167,0.011347407036404706,0.20752968984151898,0.20752968984151898,
a8cb84b5b9,180,90,2700,27.0,0.6380924524805627,0.03171041721836233,0.17335951765277377,0.17335951765277377,
a8cb84b5b9,180,91,2730,27.3,0.6371539385672215,0.015403670817508125,0.298626653512819,0.298626653512819,
a8cb84b5b9,180,92,2760,27.6,0.6361609384378786,0.03117228404485099,0.16498834895258546,0.16498834895258546,
a8cb84b5b9,180,93,2790,27.9,0.6353747804201922,0.019185828197071056,0.3186904410800899,0.3186904410800899,
a8cb84b5b9,180,94,2820,28.2,0.6341650474646924,0.01434863397808936,0.25162676115628213,0.25162676115628213,
a8cb84b5b9,180,95,2850,28.5,0.6334708994730346,0.017157896048474324,0.20377279476209412,0.20377279476209412,
a8cb84b5b9,180,96,2880,28.8,0.6333998860961527,0.027375892895012098,0.2573553900109437,0.2573553900109437,
a8cb84b5b9,180,97,2910,29.1,0.6330202902346767,0.019602134687216763,0.3777445413144256,0.3777445413144256,
a8cb84b5b9,180,98,2940,29.4,0.6314075953389089,0.010331680676149408,0.17998697800407262,0.17998697800407262,
a8cb84b5b9,180,99,2970,29.7,0.6309198599604048,0.010461926164753053,0.175859093284531,0.175859093284531,
a8cb84b5b9,180,100,3000,30.0,0.6304093413317075,0.035215484648892716,0.18230215081928594,0.18230215081928594,
a8cb84b5b9,180,101,3030,30.3,0.6301298132093079,0.02265254752474916,0.41414030727210177,0.41414030727210177,
a8cb84b5b9,180,102,3060,30.6,0.6282923199441056,0.027056334752541822,0.2338230648428409,0.2338230648428409,
a8cb84b5b9,180,103,3090,30.9,0.6276715502593461,0.018823965605125056,0.3811463432907406,0.3811463432907406,
a8cb84b5b9,180,104,3120,31.2,0.6258378755171556,0.03003210806143041,0.14522659113767003,0.14522659113767003,
a8cb84b5b9,180,105,3150,31.5,0.6254311134634364,0.021410695241546956,0.3853207026650223,0.3853207026650223,
a8cb84b5b9,180,106,3180,31.8,0.623949905922346,0.0260101840119148,0.2506141645455328,0.2506141645455328,
a8cb84b5b9,180,107,3210,32.1,0.6233785085915652,0.020068918229957402,0.3480797842947371,0.3480797842947371,
a8cb84b5b9,180,108,3240,32.4,0.6225975740644605,0.027227662885751465,0.30014224132874995,0.30014224132874995,
a8cb84b5b9,180,109,3270,32.7,0.6225521623652105,0.01774489369671635,0.3670728611334213,0.3670728611334213,
a8cb84b5b9,180,110,3300,33.0,0.6214271942215079,0.01083909121960199,0.1789040442037616,0.1789040442037616,
a8cb84b5b9,180,111,3330,33.3,0.6209924238576762,0.01082143502925052,0.20591976253490768,0.20591976253490768,
a8cb84b5b9,180,112,3360,33.6,0.6204046259118922,0.02094865613739678,0.16067457835443943,0.16067457835443943,
a8cb84b5b9,180,113,3390,33.9,0.6201569536350077,0.03075826381008633,0.3768741570889512,0.3768741570889512,
a8cb84b5b9,180,114,3420,34.2,0.6190639705088398,0.029467378633406666,0.3022636325501027,0.3022636325501027,
a8cb84b5b9,180,115,3450,34.5,0.618851144258557,0.02210160198739328,0.4013113713177764,0.4013113713177764,
a8cb84b5b9,180,116,3480,34.8,0.6179721546582407,0.01732064917207072,0.31150137893416985,0.31150137893416985,
a8cb84b5b9,180,117,3510,35.1,0.6168041119757298,0.011279361553861847,0.20966096547319932,0.20966096547319932,
a8cb84b5b9,180,118,3540,35.4,0.6163184769435162,0.01982407002919575,0.1847520803578747,0.1847520803578747,
a8cb84b5b9,180,119,3570,35.7,0.6161740062063985,0.01591295013613487,0.33201382796175705,0.33201382796175705,
a8cb84b5b9,180,120,3600,36.0,0.6148843387106947,0.06961312228277595,0.14517884034300743,0.14517884034300743,
a8cb84b5b9,180,121,3630,36.3,0.6142580205362188,0.03080485390836217,0.6684998671547301,0.6684998671547301,
a8cb84b5b9,180,122,3660,36.6,0.6093868184521705,0.08964140639807193,0.1410619536757971,0.1410619536757971,
a8cb84b5b9,180,123,3690,36.9,0.6075639238856134,0.02662222269207199,0.48233768597839316,0.48233768597839316,
a8cb84b5b9,180,124,3720,37.2,0.6067308853628488,0.021193028768378128,0.4053298112220669,0.4053298112220669,
a8cb84b5b9,180,125,3750,37.5,0.6057627278788418,0.01630351162504617,0.279407001074086,0.279407001074086,
a8cb84b5b9,180,126,3780,37.8,0.6046697432704137,0.01453207043966838,0.2224754553771608,0.2224754553771608,
a8cb84b5b9,180,127,3810,38.1,0.6037639592326397,0.022417680284762077,0.23374972790969203,0.23374972790969203,
a8cb84b5b9,180,128,3840,38.4,0.6030438759619041,0.016105267584212376,0.2933115959890108,0.2933115959890108,
a8cb84b5b9,180,129,3870,38.7,0.6026428899862022,0.013919758095106767,0.270406277804272,0.270406277804272,
a8cb84b5b9,180,130,3900,39.0,0.6017730924782939,0.01712050569384982,0.1762736304850035,0.1762736304850035,
a8cb84b5b9,180,131,3930,39.3,0.6014062234104163,0.021037245477477977,0.26858539741863824,0.26858539741863824,
a8cb84b5b9,180,132,3960,39.6,0.6004149382549251,0.020463946824269916,0.19198794416662335,0.19198794416662335,
a8cb84b5b9,180,133,3990,39.9,0.6002551723007109,0.01890007093090239,0.3494446087540736,0.3494446087540736,
a8cb84b5b9,180,134,4020,40.2,0.5987762583449519,0.02194658069841202,0.21560699540169898,0.21560699540169898,
a8cb84b5b9,180,135,4050,40.5,0.5984521405009882,0.017965979752149436,0.3384279762788435,0.3384279762788435,
a8cb84b5b9,180,136,4080,40.8,0.5978690522346684,0.014027710013354372,0.2789876929352468,0.2789876929352468,
a8cb84b5b9,180,137,4110,41.1,0.5969623579852259,0.018212426866796718,0.17194290706412538,0.17194290706412538,
a8cb84b5b9,180,138,4140,41.4,0.5966129998350959,0.015876745800685328,0.31513944271234995,0.31513944271234995,
a8cb84b5b9,180,139,4170,41.7,0.5957016982555469,0.03967996062853688,0.1999993702929113,0.1999993702929113,
a8cb84b5b9,180,140,4200,42.0,0.5956799219636485,0.04532773773852128,0.5482258226767212,0.5482258226767212,
a8cb84b5b9,180,141,4230,42.3,0.5950148911973876,0.028223066321222894,0.5216353879384893,0.5216353879384893,
a8cb84b5b9,180,142,4260,42.6,0.5937815158794549,0.018041790451760815,0.41395391147578997,0.41395391147578997,
a8cb84b5b9,180,143,4290,42.9,0.5922903340087101,0.045234621104198146,0.1511273314287962,0.1511273314287962,
a8cb84b5b9,180,144,4320,43.2,0.5910122795667372,0.028150296198419137,0.31685001257058354,0.31685001257058354,
a8cb84b5b9,180,145,4350,43.5,0.5906749511320145,0.022899577679204117,0.3809313480673342,0.3809313480673342,
a8cb84b5b9,180,146,4380,43.8,0.59065208625717,0.02560807904581946,0.4635911393912776,0.4635911393912776,
a8cb84b5b9,180,147,4410,44.1,0.5891637348733426,0.017420358096442663,0.3573636909533131,0.3573636909533131,
a8cb84b5b9,180,148,4440,44.4,0.5880084394073058,0.02073391799334947,0.19756534776937365,0.19756534776937365,
a8cb84b5b9,180,149,4470,44.7,0.5879981964154553,0.020619766210172304,0.375524375884554,0.375524375884554,
a8cb84b5b9,180,150,4500,45.0,0.5871543671964949,0.015465493420257334,0.3229613097225052,0.3229613097225052,
a8cb84b5b9,180,151,4530,45.3,0.5859535323500723,0.016400212564030917,0.16215227509110894,0.16215227509110894,
a8cb84b5b9,180,152,4560,45.6,0.5852930120571791,0.026704911583088575,0.24122073416247916,0.24122073416247916,
a8cb84b5b9,180,153,4590,45.9,0.5848459207860215,0.021091216288434408,0.42214225977987097,0.42214225977987097,
a8cb84b5b9,180,154,4620,46.2,0.5831517970555297,0.013460226704008635,0.22417158460189293,0.22417158460189293,
a8cb84b5b9,180,155,4650,46.5,0.582709741378486,0.013312408290939508,0.26504558013679336,0.26504558013679336,
a8cb84b5b9,180,156,4680,46.8,0.582108487700898,0.012047153300783892,0.20360569713620089,0.20360569713620089,
a8cb84b5b9,180,157,4710,47.1,0.5815219970615816,0.011828834294902684,0.22002470028525184,0.22002470028525184,
a8cb84b5b9,180,158,4740,47.4,0.5808044566840215,0.03300661555492252,0.18013249984099305,0.18013249984099305,
a8cb84b5b9,180,159,4770,47.7,0.5806193065422649,0.012352597261247577,0.43891677372873183,0.43891677372873183,
a8cb84b5b9,180,160,4800,48.0,0.5790370328954271,0.4512832922553711,0.13688295887035815,0.13688295887035815,
a8cb84b5b9,180,161,4830,48.3,0.5778745187653095,0.032284751909057274,0.24890309154489926,0.24890309154489926,
a8cb84b5b9,180,162,4860,48.6,0.5761764045899946,0.017025473664716705,0.565252462363727,0.565252462363727,
a8cb84b5b9,180,163,4890,48.9,0.5736644998918373,0.01562454706733635,0.2466752076875328,0.2466752076875328,
a8cb84b5b9,180,164,4920,49.2,0.572620261684884,0.020542832470308338,0.34820320007279837,0.34820320007279837,
a8cb84b5b9,180,165,4950,49.5,0.5714368181750278,0.025816666138857292,0.41581769790141343,0.41581769790141343,
a8cb84b5b9,180,166,4980,49.8,0.5713960182002746,0.031173464133373026,0.604755300842006,0.604755300842006,
a8cb84b5b9,180,167,5010,50.1,0.5685545794186477,0.012988599412662593,0.4503252575265092,0.4503252575265092,
a8cb84b5b9,180,168,5040,50.4,0.5670320873018013,0.043233831607744265,0.2161338421949239,0.2161338421949239,
a8cb84b5b9,180,169,5070,50.7,0.5648993257610592,0.024559247765934166,0.5090147118965967,0.5090147118965967,
a8cb84b5b9,180,170,5100,51.0,0.5629887963151757,0.016416524876705564,0.33922427987372367,0.33922427987372367,
a8cb84b5b9,180,171,5130,51.3,0.5618270066787074,0.013427153233895697,0.2559597390132436,0.2559597390132436,
a8cb84b5b9,180,172,5160,51.6,0.5610501772532928,0.01753745955336533,0.2685603046922537,0.2685603046922537,
a8cb84b5b9,180,173,5190,51.9,0.5608640059378693,0.022025873727844276,0.485092853577195,0.485092853577195,
a8cb84b5b9,180,174,5220,52.2,0.559422004257687,0.03082305562664579,0.3010352682358382,0.3010352682358382,
a8cb84b5b9,180,175,5250,52.5,0.557698192888021,0.02334420702629047,0.4474891996227177,0.4474891996227177,
a8cb84b5b9,180,176,5280,52.8,0.5572393207716992,0.024709352523383764,0.4569000274369083,0.4569000274369083,
a8cb84b5b9,180,177,5310,53.1,0.5571307922065207,0.031610023215016395,0.5433448685212703,0.5433448685212703,
a8cb84b5b9,180,178,5340,53.4,0.556718127581296,0.03014978701853372,0.6569252871717118,0.6569252871717118,
a8cb84b5b9,180,179,5370,53.7,0.5532995169815917,0.0184998237851187,0.3150390586829227,0.3150390586829227,
a8cb84b5b9,180,180,5400,54.0,0.5527864044791595,0.025529857639825227,0.4117200990817282,0.4117200990817282,
a8cb84b5b9,180,181,5430,54.3,0.552314601106784,0.016602090117850153,0.5981822532221001,0.5981822532221001,
a8cb84b5b9,180,182,5460,54.6,0.5497871117448279,0.04272415531493364,0.19543446720378707,0.19543446720378707,
a8cb84b5b9,180,183,5490,54.9,0.5482180698496404,0.016126516852148987,0.567442691987708,0.567442691987708,
a8cb84b5b9,180,184,5520,55.2,0.5459433692251928,0.08236263418180818,0.20502928224594955,0.20502928224594955,
a8cb84b5b9,180,185,5550,55.5,0.5452169914973936,0.02766623810752126,0.8979750248023779,0.8979750248023779,
a8cb84b5b9,180,186,5580,55.8,0.5410639464665562,0.012065187017056271,0.4381393900967145,0.4381393900967145,
a8cb84b5b9,180,187,5610,56.1,0.5396652940016995,0.03507987758275421,0.1761096305026273,0.1761096305026273,
a8cb84b5b9,180,188,5640,56.4,0.5386927876887738,0.027132846636314836,0.48444947573702135,0.48444947573702135,
a8cb84b5b9,180,189,5670,56.7,0.5374891052377074,0.02590019728518271,0.5348385241948614,0.5348385241948614,
a8cb84b5b9,180,190,5700,57.0,0.5359878908841536,0.02143813850094876,0.39911398572734264,0.39911398572734264,
a8cb84b5b9,180,191,5730,57.3,0.5357582190243753,0.014559850704861512,0.475806706055369,0.475806706055369,
a8cb84b5b9,180,192,5760,57.6,0.5339284639240275,0.013220773234144244,0.22459369277873595,0.22459369277873595,
a8cb84b5b9,180,193,5790,57.9,0.5335369827443835,0.016347730255284628,0.33633185492576106,0.33633185492576106,
a8cb84b5b9,180,194,5820,58.2,0.5330020364910958,0.010437538661305309,0.30972619081228736,0.30972619081228736,
a8cb84b5b9,180,195,5850,58.5,0.5319281366744891,0.0241874305076862,0.21543951455718358,0.21543951455718358,
a8cb84b5b9,180,196,5880,58.8,0.5309638161585909,0.01111537529868795,0.41324971399326,0.41324971399326,
a8cb84b5b9,180,197,5910,59.1,0.529848415867803,0.039352128934388296,0.17261512462683246,0.17261512462683246,
a8cb84b5b9,180,198,5940,59.4,0.5289874606588786,0.028539419956069408,0.5844871402563881,0.5844871402563881,
a8cb84b5b9,180,199,5970,59.7,0.5275024590280946,0.01341909757940056,0.47293196062409665,0.47293196062409665,
a8cb84b5b9,180,200,6000,60.0,0.5259924650293505,0.021901733936072663,0.1995503142943468,0.1995503142943468,
a8cb84b5b9,180,201,6030,60.3,0.5259876288236812,0.028250406492277086,0.5061156669985186,0.5061156669985186,
a8cb84b5b9,180,202,6060,60.6,0.5253228685768775,0.030074103061259055,0.5825830486309178,0.5825830486309178,
a8cb84b5b9,180,203,6090,60.9,0.5236833148273095,0.01476047195125374,0.5339890833308184,0.5339890833308184,
a8cb84b5b9,180,204,6120,61.2,0.5218821668226487,0.022851073504691784,0.197823166631366,0.197823166631366,
a8cb84b5b9,180,205,6150,61.5,0.5208680364241353,0.013233911856431779,0.4023193263819391,0.4023193263819391,
a8cb84b5b9,180,206,6180,61.8,0.5201534717205046,0.009381475204138574,0.32458382311051365,0.32458382311051365,
a8cb84b5b9,180,207,6210,62.1,0.519352860508241,0.010150372524860883,0.18515479554214118,0.18515479554214118,
a8cb84b5b9,180,208,6240,62.4,0.5189224782898653,0.007706554696856704,0.25255263001709355,0.25255263001709355,
a8cb84b5b9,180,209,6270,62.7,0.5183547020410312,0.009253683506984732,0.19075950597655092,0.19075950597655092,
a8cb84b5b9,180,210,6300,63.0,0.5179946771362569,0.01034295393840534,0.22382822459352933,0.22382822459352933,
a8cb84b5b9,180,211,6330,63.3,0.5176777474666154,0.02258472819836862,0.23572372521129437,0.23572372521129437,
a8cb84b5b9,180,212,6360,63.6,0.5172954199779909,0.01149354840901786,0.41389552244818456,0.41389552244818456,
a8cb84b5b9,180,213,6390,63.9,0.5159815431623359,0.037138992690115974,0.16862386797620219,0.16862386797620219,
a8cb84b5b9,180,214,6420,64.2,0.5150298853903794,0.022519987504267265,0.537969489655318,0.537969489655318,
a8cb84b5b9,180,215,6450,64.5,0.5135918043643424,0.00793378206923047,0.2803097516699717,0.2803097516699717,
a8cb84b5b9,180,216,6480,64.8,0.5129697105563984,0.015834971539019405,0.17308509177246353,0.17308509177246353,
a8cb84b5b9,180,217,6510,65.1,0.5123919462819229,0.013554715570805946,0.2802045143487709,0.2802045143487709,
a8cb84b5b9,180,218,6540,65.4,0.511815209590868,0.010301830639049589,0.2556120507407779,0.2556120507407779,
a8cb84b5b9,180,219,6570,65.7,0.5112809877291287,0.015892849501485104,0.1704392292539964,0.1704392292539964,
a8cb84b5b9,180,220,6600,66.0,0.5107641887301209,0.014512404427655518,0.2944028831736582,0.2944028831736582,
a8cb84b5b9,180,221,6630,66.3,0.5104494161131187,0.008585183916789479,0.31903763762093496,0.31903763762093496,
a8cb84b5b9,180,222,6660,66.6,0.509780301549088,0.010054397680167419,0.16989516477107455,0.16989516477107455,
a8cb84b5b9,180,223,6690,66.9,0.5093559154476562,0.012277357609007385,0.27243437183664454,0.27243437183664454,
a8cb84b5b9,180,224,6720,67.2,0.5087199863143661,0.01247858792574464,0.20668905725296446,0.20668905725296446,
a8cb84b5b9,180,225,6750,67.5,0.5084761794887063,0.016688916267380286,0.3511438442340109,0.3511438442340109,
a8cb84b5b9,180,226,6780,67.8,0.5073844653195091,0.022017731644175934,0.2478371764973154,0.2478371764973154,
a8cb84b5b9,180,227,6810,68.1,0.5069276233603228,0.009313331084683425,0.3854752718454274,0.3854752718454274,
a8cb84b5b9,180,228,6840,68.4,0.5060790988290285,0.07178932398195595,0.14958231728430574,0.14958231728430574,
a8cb84b5b9,180,229,6870,68.7,0.5045863139254885,0.022526468484661537,0.823154831824217,0.823154831824217,
a8cb84b5b9,180,230,6900,69.0,0.5006400719508967,0.011774139377733746,0.25933147264633305,0.25933147264633305,
a8cb84b5b9,180,231,6930,69.3,0.4999824524367419,0.006427565368907186,0.19872410273725588,0.19872410273725588,
a8cb84b5b9,180,232,6960,69.6,0.4995776920086813,0.011110620107041586,0.19913802117012908,0.19913802117012908,
